fold,validation_start,validation_end,lightgbm_wape,lightgbm_mae,lightgbm_bias,naive_wape,naive_mae,naive_bias,improvement_pct
4,2025-02-03,2025-04-21,0.2682618668125487,4.713817045070062,-18483.75898794042,0.3654882566854658,6.42225,-62967.0,26.601782162481026
3,2025-04-28,2025-07-14,0.2609148149657184,4.874362738806807,-14600.099644597718,0.35461487060947855,6.62485,-56297.0,26.423047483236495
2,2025-07-21,2025-10-06,0.2586503599926842,5.06331789302012,-11536.306635470892,0.3489934485826547,6.8318666666666665,-55958.0,25.886757747709943
1,2025-10-13,2025-12-29,0.32442122920325006,6.818485335635901,78520.43006934309,0.41432369871606284,8.708,72370.0,21.698606618788464
